Pico;Regiao;Posicao_cm-1;Amplitude;FWHM_cm-1;Area
1;1;82,05943908559784;338,2356737769789;8,457873562992068;3045,2048051406623
2;1;93,20485582706029;203,56763342229402;12,94384865471065;2804,839798815537
3;1;102,24904538091516;131,44718188831965;4,648631099003776;650,4475316902643
4;1;112,81145985959724;215,1407985853216;5,676655698924052;1300,0236035908003
5;1;130,48142329567716;120,40070439940214;8,317733593296373;1066,0312627528572
6;1;145,6287845842819;647,6422576655456;9,61600596112359;6629,271548639388
7;1;158,61298706867356;59,42544556578384;12,041420309466194;761,7037076977473
8;1;185,37690722839386;253,19189371766208;9,919123920799699;2673,369691518084
9;1;214,76128214734584;84,02914968349467;11,873748204017561;1062,0713920402318
10;1;232,58898854565038;214,93942556125586;13,536149180536324;3097,042199200688
11;1;255,4034909398807;219,16661783401008;13,854457345298776;3232,2119576559217
12;1;272,8369898519786;57,209034395612605;16,438803844782264;1001,084501738688
13;1;307,82864124505915;89,07952356999195;9,565045609768486;906,9865313649324
14;1;324,14589857586293;192,30800106729222;10,46487062781476;2142,235068312502
15;1;342,0529685508315;79,39105678974323;11,966624893698729;1011,2980453478646
16;1;360,0964627947255;46,63317644612882;8,214146871303635;407,74943658724465
17;1;379,4536642921513;79,7883890428932;17,663806773455295;1500,2371269336575
18;2;437,21329085118794;93,12221868271021;9,98947488311333;990,2204269382611
19;2;459,16342530602157;309,52970403524836;16,262026248743528;5358,125692722662
20;2;500,66359289820866;32,417804071216416;12,589543282725554;434,43967029078715
21;2;528,4409158406365;13,649607579471928;9,248005195736292;134,370563328463
22;2;542,4165355723609;102,49661673901488;12,014257928172496;1310,8179764112174
23;2;573,9513863406886;21,923987640250793;21,299508671912694;497,0785708609179
24;2;583,8840000000001;3,730778384256141;7,269096172248264;28,867938646709906
25;2;629,0451597410034;9,540349081537498;11,619583545077777;118,00237158798141
26;2;640,1034413274784;10,097767833642115;4,250427500692266;45,687132520929936
27;2;646,8787037445671;8,361620850539316;5,146483873154204;45,80754261160203
28;2;654,441082499501;18,724778793981802;28,904179767077974;576,1203986228306
29;2;683,5349999980493;9,907938121051853;3,0836900741195272;32,52294880295052
30;2;693,5009999999999;9,363294925266963;188,38399999999996;1877,62398427065
31;2;708,8311970614388;2,4408006625673564;1,6946095557069851;4,402890357051921
32;2;715,8768625064952;7,986419246007967;3,5652646064889697;30,309570309657413
33;2;760,9041026871632;356,6806038881377;13,929627231730949;5288,772607724551
34;2;795,5372936766802;149,43474615948367;14,79789016033535;2353,8961393224113
35;3;854,0279022889076;1145,7292380001024;8,719852607514774;10634,744175089958
36;3;867,2655935487486;145,13568071600253;9,303170117791622;1437,2789457307717
37;3;883,2671414464002;355,30467315064925;9,478501346160833;3584,8955186735743
38;3;915,9827512809499;289,3930969876405;9,049311796326323;2787,658865688066
39;3;944,908423368833;1602,1872570489336;7,224707952523258;12321,667251156581
40;3;968,6623487338159;1936,7240370296804;10,179185008039342;20985,37129138068
41;3;987,879223557043;174,37784053160632;8,112222488686367;1505,799176968558
